long,lat,n_cruce,id_codigo,fecha_inau,anio_inau,dom_orig,dom_norma,origen,observ,nro_nva,instala,horario,fecha_fina,id_usig,objeto,calle_nombre,calle_altura,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.401043699373105,-34.5915460009866,1109.0,B-CR-01109,,,Pueyrredón Av. y Juncal,,Coordenada,,4.0,,,,146,CRUCE SEMAFORIZADO,PUEYRREDON AV.,,Recoleta,Comuna 2,,
-58.4014957993939,-34.5925238004248,1110.0,B-CR-01110,,,Pueyrredón Av. y Beruti,,Coordenada,,4.0,,,,147,CRUCE SEMAFORIZADO,PUEYRREDON AV.,,Recoleta,Comuna 2,,
-58.400891299440495,-34.5898767007313,1111.0,B-CR-01111,,,Anchorena T. de Dr. y French,,Coordenada,,4.0,,,,148,CRUCE SEMAFORIZADO,"ANCHORENA, TOMAS MANUEL DE, DR.",,Recoleta,Comuna 2,,
-58.390074798944504,-34.5870670011733,1112.0,B-CR-01112,,,Alvear Av. y R.Ortiz,,Coordenada,,4.0,,,,149,CRUCE SEMAFORIZADO,ALVEAR AV.,,Recoleta,Comuna 2,,
-58.395858298588,-34.5885357004353,1113.0,B-CR-01113,,,Las Heras Av. y Azcuénaga,,Coordenada,,4.0,,,,150,CRUCE SEMAFORIZADO,LAS HERAS GENERAL AV.,,Recoleta,Comuna 2,,
-58.3939699994579,-34.5900675009596,1114.0,B-CR-01114,,,Las Heras Av. y Junín,,Coordenada,,4.0,,,,151,CRUCE SEMAFORIZADO,LAS HERAS GENERAL AV.,,Recoleta,Comuna 2,,
-58.3929363992879,-34.5909219009296,1115.0,B-CR-01115,,,Las Heras Av. y Ayacucho,,Coordenada,,4.0,,,,152,CRUCE SEMAFORIZADO,LAS HERAS GENERAL AV.,,Recoleta,Comuna 2,,
-58.3974770987373,-34.5928691009604,1116.0,B-CR-01116,,,Juncal y Uriburu,,Coordenada,,4.0,,,,153,CRUCE SEMAFORIZADO,JUNCAL,,Recoleta,Comuna 2,,
-58.397198098613394,-34.592951301125495,1117.0,B-CR-01117,,,Juncal y Junín,,Coordenada,,4.0,,,,154,CRUCE SEMAFORIZADO,JUNCAL,,Recoleta,Comuna 2,,
-58.3892107987051,-34.5876388012409,1118.0,B-CR-01118,,,Alvear Av. y Ayacucho,,Coordenada,,4.0,,,,155,CRUCE SEMAFORIZADO,ALVEAR AV.,,Recoleta,Comuna 2,,
-58.39875049868879,-34.592486600853,1119.0,B-CR-01119,,,Juncal y Azcuénaga,,Coordenada,,4.0,,,,156,CRUCE SEMAFORIZADO,JUNCAL,,Recoleta,Comuna 2,,
-58.3899928985637,-34.5883284005967,1120.0,B-CR-01120,,,Quintana Manuel Pres. Av. y Ayacucho,,Coordenada,,4.0,,,,157,CRUCE SEMAFORIZADO,"QUINTANA, MANUEL, PRES. AV.",,Recoleta,Comuna 2,,
-58.39302899899489,-34.5892085012226,1121.0,B-CR-01121,,,López Vicente y Junín,,Coordenada,,4.0,,,,158,CRUCE SEMAFORIZADO,"LOPEZ, VICENTE",,Recoleta,Comuna 2,,
-58.39777309840421,-34.5885152004458,1122.0,B-CR-01122,,,Larrea y Pacheco de Melo,,Coordenada,,4.0,,,,159,CRUCE SEMAFORIZADO,LARREA,,Recoleta,Comuna 2,,
-58.3888098990759,-34.5928094008323,1123.0,B-CR-01123,,,Juncal y Paraná,,Coordenada,,4.0,,,,160,CRUCE SEMAFORIZADO,JUNCAL,,Recoleta,Comuna 2,,
-58.396632098999206,-34.5894762012297,1124.0,B-CR-01124,,,Azcuénaga y Pacheco de Melo,,Coordenada,,4.0,,,,161,CRUCE SEMAFORIZADO,AZCUENAGA,,Recoleta,Comuna 2,,
-58.3999488986867,-34.5919916009571,1125.0,B-CR-01125,,,Larrea y Juncal,,Coordenada,,4.0,,,,162,CRUCE SEMAFORIZADO,LARREA,,Recoleta,Comuna 2,,
-58.4024446989866,-34.5909532007744,1126.0,B-CR-01126,,,Anchorena T. de Dr. y Juncal,,Coordenada,,4.0,,,,163,CRUCE SEMAFORIZADO,"ANCHORENA, TOMAS MANUEL DE, DR.",,Recoleta,Comuna 2,,
-58.395286099211,-34.5878658008086,1127.0,B-CR-01127,,,Azcuénaga y López Vicente,,Coordenada,,4.0,,,,164,CRUCE SEMAFORIZADO,AZCUENAGA,,Recoleta,Comuna 2,,
-58.3949164989905,-34.5893077008245,1128.0,B-CR-01128,,,Las Heras Av. y Uriburu,,Coordenada,,4.0,,,,165,CRUCE SEMAFORIZADO,LAS HERAS GENERAL AV.,,Recoleta,Comuna 2,,
-58.3919314987031,-34.5900637009588,1129.0,B-CR-01129,,,López Vicente y Ayacucho,,Coordenada,,4.0,,,,166,CRUCE SEMAFORIZADO,"LOPEZ, VICENTE",,Recoleta,Comuna 2,,
-58.388940598546895,-34.5908308004908,1130.0,B-CR-01130,,,Rodríguez Peña y Guido,,Coordenada,,4.0,,,,167,CRUCE SEMAFORIZADO,RODRIGUEZ PE\u00d1A,,Recoleta,Comuna 2,,
