Id_Hecho,Sexo,Edad
LC-2019-0058778,MASCULINO,26
LC-2019-0058804,MASCULINO,28
LC-2019-0058859,MASCULINO,36
LC-2019-0058954,FEMENINO,50
LC-2019-0059121,MASCULINO,32
LC-2019-0059155,FEMENINO,64
LC-2019-0059198,MASCULINO,22
LC-2019-0059204,MASCULINO,29
LC-2019-0059247,MASCULINO,28
LC-2019-0059349,MASCULINO,28
LC-2019-0059560,MASCULINO,34
LC-2019-0060883,MASCULINO,47
LC-2019-0059635,MASCULINO,31
LC-2019-0059669,MASCULINO,53
LC-2019-0059847,FEMENINO,30
LC-2019-0059902,MASCULINO,39
LC-2019-0059909,MASCULINO,45
LC-2019-0060049,MASCULINO,42
LC-2019-0060076,FEMENINO,22
LC-2019-0060110,MASCULINO,35
LC-2019-0060254,FEMENINO,66
LC-2019-0060254,MASCULINO,66
LC-2019-0060398,MASCULINO,65
LC-2019-0060398,MASCULINO,65
LC-2019-0060561,MASCULINO,64
LC-2019-0060992,MASCULINO,66
LC-2019-0061092,MASCULINO,25
LC-2019-0061975,FEMENINO,9
LC-2019-0061975,MASCULINO,9
LC-2019-0062027,MASCULINO,31
LC-2019-0540032,FEMENINO,43
LC-2019-0064934,FEMENINO,52
LC-2019-0065618,FEMENINO,52
LC-2019-0065830,MASCULINO,51
LC-2019-0061593,MASCULINO,33
LC-2019-0062578,MASCULINO,42
LC-2019-0063371,FEMENINO,62
LC-2019-0063397,FEMENINO,63
LC-2019-0063407,FEMENINO,27
LC-2019-0063574,MASCULINO,57
LC-2019-0698305,FEMENINO,43
LC-2019-0063875,MASCULINO,37
LC-2019-0063940,MASCULINO,77
LC-2019-0064032,FEMENINO,35
LC-2019-0064077,MASCULINO,21
LC-2019-0065540,FEMENINO,57
LC-2019-0078693,FEMENINO,47
LC-2019-0064455,MASCULINO,40
LC-2019-0064484,MASCULINO,22
LC-2019-0064573,MASCULINO,28
LC-2019-0064712,FEMENINO,38
LC-2019-0065275,MASCULINO,64
LC-2019-0065296,FEMENINO,30
LC-2019-0065453,FEMENINO,68
LC-2019-0065470,FEMENINO,25
LC-2019-0065471,FEMENINO,36
LC-2019-0065577,MASCULINO,65
LC-2019-0065592,FEMENINO,38
LC-2019-0065895,MASCULINO,24
LC-2019-0065899,MASCULINO,35
LC-2019-0065928,MASCULINO,29
LC-2019-0065968,MASCULINO,35
LC-2019-0065990,MASCULINO,33
LC-2019-0066002,MASCULINO,31
LC-2019-0066056,MASCULINO,38
LC-2019-0066056,MASCULINO,38
LC-2019-0066174,MASCULINO,41
LC-2019-0066406,MASCULINO,62
LC-2019-0066654,MASCULINO,26
LC-2019-0066730,FEMENINO,44
LC-2019-0472088,MASCULINO,54
LC-2019-0066749,FEMENINO,41
LC-2019-0066827,MASCULINO,40
LC-2019-0067556,MASCULINO,28
LC-2019-0085725,FEMENINO,45
LC-2019-0089512,MASCULINO,22
LC-2019-0067248,MASCULINO,55
LC-2019-0067248,MASCULINO,55
LC-2019-0067385,FEMENINO,62
LC-2019-0067445,MASCULINO,24
LC-2019-0067527,FEMENINO,30
LC-2019-0067783,MASCULINO,30
LC-2019-0068151,MASCULINO,21
LC-2019-0068253,MASCULINO,46
LC-2019-0068367,MASCULINO,38
LC-2019-0068367,MASCULINO,38
LC-2019-0068367,MASCULINO,30
LC-2019-0068396,MASCULINO,47
