,Id,semaforo_15m
1002,LC-2019-0033333,False
1003,LC-2019-0033368,False
1004,LC-2019-0033399,True
1005,LC-2019-0033412,False
1006,LC-2019-0033440,False
1007,LC-2019-0033459,True
1008,LC-2019-0033593,False
1009,LC-2019-0037717,False
1010,LC-2019-0043540,True
1011,LC-2019-0033821,False
1012,LC-2019-0035702,False
1013,LC-2019-0036257,False
1014,LC-2019-0033646,True
1015,LC-2019-0034601,False
1016,LC-2019-0034710,False
1017,LC-2019-0034889,True
1018,LC-2019-0034914,False
1019,LC-2019-0034915,True
1020,LC-2019-0034987,False
1021,LC-2019-0035011,False
1022,LC-2019-0035269,True
1023,LC-2019-0035598,False
1024,LC-2019-0035843,True
1025,LC-2019-0035861,False
1026,LC-2019-0035884,False
1027,LC-2019-0035947,True
1028,LC-2019-0036035,True
1029,LC-2019-0036051,False
1030,LC-2019-0036157,True
1031,LC-2019-0036172,True
1032,LC-2019-0036233,True
1033,LC-2019-0045960,True
1034,LC-2019-0037998,False
1035,LC-2019-0038915,True
1036,LC-2019-0039169,False
1037,LC-2019-0036239,False
1038,LC-2019-0036324,False
1039,LC-2019-0036547,False
1040,LC-2019-0036762,False
1041,LC-2019-0037490,False
1042,LC-2019-0037547,True
1043,LC-2019-0037563,False
1044,LC-2019-0037776,True
1045,LC-2019-0037791,True
1046,LC-2019-0037893,True
1047,LC-2019-0037898,True
1048,LC-2019-0037918,True
1049,LC-2019-0037939,True
1050,LC-2019-0038196,True
1051,LC-2019-0038545,False
1052,LC-2019-0038664,False
1053,LC-2019-0038880,False
1054,LC-2019-0039296,True
1055,LC-2019-0039419,False
1056,LC-2019-0039494,False
1057,LC-2019-0040008,False
1058,LC-2019-0040436,True
1059,LC-2019-0052190,True
1060,LC-2019-0054502,True
1061,LC-2019-0081956,True
1062,LC-2019-0044799,True
1063,LC-2019-0039446,True
1064,LC-2019-0039502,False
1065,LC-2019-0039583,True
1066,LC-2019-0039611,True
1067,LC-2019-0039636,False
1068,LC-2019-0039736,True
1069,LC-2019-0039781,False
1070,LC-2019-0040002,False
1071,LC-2019-0040015,False
1072,LC-2019-0040126,True
1073,LC-2019-0040179,False
1074,LC-2019-0040286,True
1075,LC-2019-0040449,False
1076,LC-2019-0040616,True
1077,LC-2019-0041689,False
1078,LC-2019-0042297,True
1079,LC-2019-0044720,True
1080,LC-2019-0073192,True
1081,LC-2019-0041141,True
1082,LC-2019-0041721,False
1083,LC-2019-0040743,True
1084,LC-2019-0040917,False
1085,LC-2019-0040935,False
1086,LC-2019-0040966,True
1087,LC-2019-0040980,True
1088,LC-2019-0041064,False
1089,LC-2019-0041311,True
1090,LC-2019-0041398,True
1091,LC-2019-0041551,False
1092,LC-2019-0041573,False
1093,LC-2019-0041597,True
1094,LC-2019-0041691,True
1095,LC-2019-0041708,True
1096,LC-2019-0041867,False
1097,LC-2019-0044765,False
1098,LC-2019-0042071,True
1099,LC-2019-0042330,False
1100,LC-2019-0042727,False
1101,LC-2019-0042790,True
1102,LC-2019-0042849,True
1103,LC-2019-0043166,False
1104,LC-2019-0043366,False
1105,LC-2019-0043556,False
1106,LC-2019-0043780,True
1107,LC-2019-0043843,True
1108,LC-2019-0044108,False
1109,LC-2019-0044259,False
1110,LC-2019-0044828,True
1111,LC-2019-0049022,False
1112,LC-2019-0045068,False
1113,LC-2019-0047216,True
1114,LC-2019-0047428,True
1115,LC-2019-0045084,True
1116,LC-2019-0045246,True
1117,LC-2019-0045335,True
1118,LC-2019-0045664,False
1119,LC-2019-0045807,False
1120,LC-2019-0045808,True
1121,LC-2019-0045822,True
1122,LC-2019-0045905,True
1123,LC-2019-0046032,False
1124,LC-2019-0046465,False
1125,LC-2019-0046649,True
1126,LC-2019-0047039,False
1127,LC-2019-0047141,False
1128,LC-2019-0047273,True
1129,LC-2019-0047289,True
1130,LC-2019-0047344,False
1131,LC-2019-0047388,True
1132,LC-2019-0047621,False
1133,LC-2019-0049471,False
1134,LC-2019-0055233,False
1135,LC-2019-0056799,True
1136,LC-2019-0058743,True
1137,LC-2019-0061265,True
1138,LC-2019-0061464,True
1139,LC-2019-0048744,True
1140,LC-2019-0049207,False
1141,LC-2019-0051815,True
1142,LC-2019-0047752,False
1143,LC-2019-0048117,False
1144,LC-2019-0048277,False
1145,LC-2019-0048442,True
1146,LC-2019-0048531,True
1147,LC-2019-0048651,True
1148,LC-2019-0048674,False
1149,LC-2019-0048830,True
1150,LC-2019-0049122,False
1151,LC-2019-0049148,True
1152,LC-2019-0049194,False
1153,LC-2019-0049414,True
1154,LC-2019-0049638,False
1155,LC-2019-0049648,False
1156,LC-2019-0049690,True
1157,LC-2019-0049800,False
1158,LC-2019-0049949,False
1159,LC-2019-0051056,True
1160,LC-2019-0062792,True
1161,LC-2019-0072975,False
1162,LC-2019-0051671,False
1163,LC-2019-0052649,True
1164,LC-2019-0058485,True
1165,LC-2019-0049994,True
1166,LC-2019-0050158,True
1167,LC-2019-0050234,True
1168,LC-2019-0050276,False
1169,LC-2019-0050343,True
1170,LC-2019-0050551,False
