Id,N_Victimas,Fecha,Franja_Hora,Tipo_Calle,Calle,Cruce,Comuna,Longitud,Latitud,Participantes,Victima,Acusado,Dataset,semaforo_30m,semaforo_15m
2016-0125,1,2016-09-17,12,AUTOPISTA,AUTOPISTA PERITO MORENO,True,10,-58.49020869,-34.64243791,MOTO-MOTO,MOTO,MOTO,homicidio,False,False
2016-0126,2,2016-09-18,22,CALLE,IRIGOYEN,True,10,-58.52572109,-34.62125906,AUTO-CARGAS,AUTO,CARGAS,homicidio,True,True
2016-0127,1,2016-09-24,10,AVENIDA,"ACOSTA, MARIANO",True,8,-58.44094791,-34.66677111,PEATON-PASAJEROS,PEATON,PASAJEROS,homicidio,True,True
2016-0128,1,2016-10-02,11,AVENIDA,CASTRO,True,5,-58.41914024,-34.6305389,PEATON-PASAJEROS,PEATON,PASAJEROS,homicidio,True,True
2016-0130,1,2016-10-04,12,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,False,1,-58.37910942,-34.62764717,MOTO-CARGAS,MOTO,CARGAS,homicidio,False,False
2016-0131,1,2016-10-09,19,CALLE,MIRAVE,False,4,-58.39871183,-34.64539318,PEATON-AUTO,PEATON,AUTO,homicidio,False,False
2016-0132,1,2016-10-10,2,AVENIDA,SAN JUAN AV.,True,3,-58.41036975,-34.62477021,AUTO-PASAJEROS,AUTO,PASAJEROS,homicidio,True,True
2016-0133,1,2016-10-14,0,AVENIDA,LAS HERAS GENERAL AV.,True,14,-58.40204698,-34.5834269,MOTO-AUTO,MOTO,AUTO,homicidio,True,True
2016-0134,1,2016-10-23,5,AVENIDA,PIEDRA BUENA AV.,True,8,-58.48935287,-34.67648597,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,homicidio,True,True
2016-0137,1,2016-10-25,0,AVENIDA,SAN MARTIN AV.,True,11,-58.51537091,-34.59035925,MOTO-MOTO,MOTO,MOTO,homicidio,True,True
2016-0138,1,2016-10-27,20,AVENIDA,CABILDO AV.,True,13,-58.4590967,-34.55922742,BICICLETA-CARGAS,CICLISTA,CARGAS,homicidio,True,True
2016-0139,1,2016-10-28,23,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.",True,14,-58.42008769,-34.56539579,MOTO-MOTO,MOTO,MOTO,homicidio,False,False
2016-0140,1,2016-10-31,2,AVENIDA,JURAMENTO AV.,True,13,-58.45566399,-34.56147293,PASAJEROS-PASAJEROS,PASAJEROS,PASAJEROS,homicidio,True,True
2016-0142,1,2016-11-05,23,AVENIDA,DEL LIBERTADOR AV.,True,1,-58.37533517,-34.59276462,MOTO-PASAJEROS,MOTO,PASAJEROS,homicidio,True,True
